#Active RPP references from measurements
PHLTA,109B,119,S035:Desig=12
PRLTA,48,1586,S035:Desig=7
PRLTA,48,66,S035T
PHRVA,D25,2869,S035:Desig=31,S035:Desig=32,S035:Desig=35,S035:Desig=36,S035:Desig=37,S035:Desig=38,S035:Desig=39,S035:Desig=40,S035:Desig=41,S035:Desig=42,S035:Desig=43,S035:Desig=44
PHLTA,127B,270,S035:Desig=1,S035:Desig=2,S035:Desig=12,S035:Desig=214,S035:Desig=62,S035:Desig=7,S035:Desig=117,S035:Desig=181
PHRVA,D30,2436,S035:Desig=285,S035:Desig=28,S035:Desig=109,S035:Desig=62,S035:Desig=260,S035:Desig=119,S035:Desig=247,S035:Desig=5
ZEPYA,C23,103,S035:Desig=24,S035:Desig=115,S035:Desig=201,S035:Desig=27,S035:Desig=5,S035:Desig=17,S035:Desig=62,S035:Desig=259,S035:Desig=260,S035:Desig=117,S035:Desig=8,S035:Desig=214,S035:Desig=204,S035:Desig=285,S035:Desig=109,S035:Desig=118,S035:Desig=263,S035:Desig=113,S035:Desig=247,S035:Desig=216,S035:Desig=240,S035:Desig=58,S035:Desig=18,S035:Desig=119,S035:Desig=16,S035:Desig=171,S035:Desig=182
PRLTA,52,1944,S035:Desig=109,S035:Desig=182,S035:Desig=62,S035:Desig=198,S035:Desig=119,S035:Desig=7,S035:Desig=115,S035:Desig=116
ZEPYA,C26,521,S035:Desig=1,S035:Desig=2,S035:Desig=62,S035:Desig=7,S035:Desig=116,S035:Desig=16,S035:Desig=110,S035:Desig=182,S035:Desig=191,S035:Desig=240,S035:Desig=117,S035:Desig=58,S035:Desig=119,S035:Desig=8,S035:Desig=118,S035:Desig=113,S035:Desig=115,S035:Desig=214,S035:Desig=12,S035:Desig=203,S035:Desig=109,S035:Desig=201,S035:Desig=285,S035:Desig=259,S035:Desig=260,S035:Desig=263,S035:Desig=216,S035:Desig=5,S035:Desig=247,S035:Desig=204,S035:Desig=194
PRLTA,55,2118,S035:Desig=1,S035:Desig=2
PRLTA,55,1842,S029GB,S035:Desig=102,S035:Desig=2,S035:Desig=103,S035:Desig=1
PHLTA,161B,188,S035:Desig=62,S035:Desig=1,S035:Desig=7,S035:Desig=116,S035:Desig=16,S035:Desig=110,S035:Desig=182,S035:Desig=191,S035:Desig=2,S035:Desig=240,S035:Desig=117,S035:Desig=58,S035:Desig=119,S035:Desig=8,S035:Desig=118,S035:Desig=113,S035:Desig=115,S035:Desig=214,S035:Desig=12,S035:Desig=203,S035:Desig=109,S035:Desig=201,S035:Desig=285,S035:Desig=259,S035:Desig=260,S035:Desig=263,S035:Desig=216,S035:Desig=5,S035:Desig=247,S035:Desig=204,S035:Desig=194,S035:Desig=20,S035:Desig=3,S035:Desig=4,S044Z0T
PHRVA,D32,2468,S035RHE,S035RHM,S035RHO
PRLTA,54,1775,S035:Desig=20,S035:Desig=3,S035:Desig=4,S035:Desig=29
ZEPYA,C28,1,S035:Desig=1,S035:Desig=2,S035:Desig=62,S035:Desig=7,S035:Desig=116,S035:Desig=16,S035:Desig=110,S035:Desig=182,S035:Desig=191,S035:Desig=240,S035:Desig=117,S035:Desig=58,S035:Desig=119,S035:Desig=8,S035:Desig=118,S035:Desig=113,S035:Desig=115,S035:Desig=214,S035:Desig=12,S035:Desig=203,S035:Desig=109,S035:Desig=201,S035:Desig=285,S035:Desig=259,S035:Desig=260,S035:Desig=263,S035:Desig=216,S035:Desig=5,S035:Desig=247,S035:Desig=204,S035:Desig=194,S035:Desig=192,S035:Desig=181
PRLTA,54,1624,S035:Desig=62,S035:Desig=1,S035:Desig=7,S035:Desig=116,S035:Desig=16,S035:Desig=110,S035:Desig=182,S035:Desig=191,S035:Desig=2,S035:Desig=240,S035:Desig=117,S035:Desig=58,S035:Desig=119,S035:Desig=8,S035:Desig=118,S035:Desig=113,S035:Desig=115,S035:Desig=214,S035:Desig=12,S035:Desig=203,S035:Desig=109,S035:Desig=201,S035:Desig=5,S035:Desig=17,S035:Desig=259,S035:Desig=260,S035:Desig=204,S035:Desig=285,S035:Desig=263,S035:Desig=247,S035:Desig=216,S035:Desig=18,S035:Desig=194,S044Z0T
PRLTA,56,2132,M010M,M010W,S035:Desig=5,S035:Desig=17,S035:Desig=62,S035:Desig=259,S035:Desig=260,S035:Desig=117,S035:Desig=8,S035:Desig=214,S035:Desig=204,S035:Desig=285,S035:Desig=109,S035:Desig=118,S035:Desig=263,S035:Desig=113,S035:Desig=247,S035:Desig=216,S035:Desig=240,S035:Desig=58,S035:Desig=18,S035:Desig=119,S035:Desig=194
PRLTA,57,527,M010M,M010W,S035:Desig=62,S035:Desig=1,S035:Desig=7,S035:Desig=116,S035:Desig=16,S035:Desig=110,S035:Desig=182,S035:Desig=191,S035:Desig=2,S035:Desig=240,S035:Desig=117,S035:Desig=58,S035:Desig=119,S035:Desig=8,S035:Desig=118,S035:Desig=113,S035:Desig=115,S035:Desig=214,S035:Desig=12,S035:Desig=203,S035:Desig=109,S035:Desig=201,S035:Desig=5,S035:Desig=17,S035:Desig=259,S035:Desig=260,S035:Desig=204,S035:Desig=285,S035:Desig=263,S035:Desig=247,S035:Desig=216,S035:Desig=18,S035:Desig=194
PRLTA,56,812,S035:Desig=16,S035:Desig=21
PHRVA,D18,2239,S067DU1
PHLTA,97B,310,S067RER
PHLTA,96B,159,S077U1A,S077U1D
PHLTA,105B,263,S077U2E
PHLTA,104B,84,S077U2A
PHRVA,D24,1232,S077U1A,S077U2A
SJNCA,34,787,S067DU1
PHLTA,106B,175,S077U2A
PHRVA,D24,1097,S067RER
PHRVA,D24,1275,S077UAJ
PHLTA,112B,97,S008:Desig=7,S008:Desig=8,S010:Desig=34,S010:Desig=35,S010:Desig=36
PRLTA,49,1305,S077U2E
PHLTA,114B,298,S067RER
PRLTA,50,1546,S077U1A
PHRVA,D27,1644,S077U2C
PHRVA,D28,2762,S077U1C
PRLTA,50,474,S076HDB
PHLTA,129B,265,S077U1D
PRLTA,52,804,S077U2E
JTPLA,42,289,S077U1D
PHLTA,160B,207,S077U1C,S077U2D
PHRVA,C32,2215,S077U1D
PHLTA,160B,322,S077U1D
PRLTA,56,2241,S077U1A
PHLTA,166B,479,S077PRO,S077U1C,S077U2D
PHLTA,166B,473,S077U1C,S077U2D
JTPLA,4,120,S066MNS
JTPLA,9,184,S007N
PRLTA,29,669,S066MNS
PHRVA,D13,2700,S066MGM
PRLTA,39,784,S066TMR
PHLTA,66B,202,S007N
PHLTA,79B,511,S066TMR
PRLTA,43,239,S007NSW
ASJOA,227,697,S007N
PRLTA,45,1460,S066TMR
NUPHA,B180,497,S007NSW
PHRVA,D25,213,S066MSH,S066MSW
PHLTA,134B,174,S066TMR
ASJOA,281,493,S007N
PHRVA,173,1391,S025MLL
NUPHA,B10,241,S025MS
PHRVA,D7,26,S025MLL
NUPHA,B58,476,S025MLL
NUPHA,B150,87,S030ICH
JTPLA,32,664,S025MS
PRLTA,45,1904,S025MS
NUPHA,B174,1,S027C,S030RPI
